2021:05:21 19:00:03.191 INFO  --- [main] com.cnc.rating.RatingApplication : Starting RatingApplication using Java 11.0.11 on ip-10-0-9-77.ap-northeast-2.compute.internal with PID 19803 (/home/P171580/cnc_bmt/build/libs/rating-0.0.1-SNAPSHOT.jar started by P171580 in /home/P171580/cnc_bmt/build/libs) 
2021:05:21 19:00:03.196 INFO  --- [main] com.cnc.rating.RatingApplication : The following profiles are active: prod 
2021:05:21 19:00:04.702 INFO  --- [main] o.s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2021:05:21 19:00:04.719 INFO  --- [main] o.s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 7 ms. Found 0 JPA repository interfaces. 
2021:05:21 19:00:04.821 WARN  --- [main] o.m.s.mapper.ClassPathMapperScanner : No MyBatis mapper was found in '[com.cnc.rating]' package. Please check your configuration. 
2021:05:21 19:00:05.492 INFO  --- [main] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat initialized with port(s): 8081 (http) 
2021:05:21 19:00:05.507 INFO  --- [main] o.a.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8081"] 
2021:05:21 19:00:05.508 INFO  --- [main] o.a.catalina.core.StandardService : Starting service [Tomcat] 
2021:05:21 19:00:05.508 INFO  --- [main] o.a.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.45] 
2021:05:21 19:00:05.569 INFO  --- [main] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext 
2021:05:21 19:00:05.570 INFO  --- [main] o.s.b.w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2246 ms 
2021:05:21 19:00:06.030 INFO  --- [main] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Starting... 
2021:05:21 19:00:06.509 INFO  --- [main] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Start completed. 
2021:05:21 19:00:06.569 INFO  --- [main] o.h.jpa.internal.util.LogHelper : HHH000204: Processing PersistenceUnitInfo [name: default] 
2021:05:21 19:00:06.658 INFO  --- [main] org.hibernate.Version : HHH000412: Hibernate ORM core version 5.4.30.Final 
2021:05:21 19:00:07.018 INFO  --- [main] o.h.annotations.common.Version : HCANN000001: Hibernate Commons Annotations {5.1.2.Final} 
2021:05:21 19:00:07.173 INFO  --- [main] org.hibernate.dialect.Dialect : HHH000400: Using dialect: org.hibernate.dialect.MySQL57Dialect 
2021:05:21 19:00:07.937 INFO  --- [main] o.h.e.t.j.p.i.JtaPlatformInitiator : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
2021:05:21 19:00:07.949 INFO  --- [main] o.s.o.j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default' 
2021:05:21 19:00:09.089 WARN  --- [main] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
2021:05:21 19:00:09.255 INFO  --- [main] o.s.s.c.ThreadPoolTaskExecutor : Initializing ExecutorService 'applicationTaskExecutor' 
2021:05:21 19:00:09.739 INFO  --- [main] o.s.b.a.e.web.EndpointLinksResolver : Exposing 4 endpoint(s) beneath base path '/actuator' 
2021:05:21 19:00:09.785 INFO  --- [main] o.a.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8081"] 
2021:05:21 19:00:09.802 INFO  --- [main] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat started on port(s): 8081 (http) with context path '' 
2021:05:21 19:00:09.824 INFO  --- [main] com.cnc.rating.RatingApplication : Started RatingApplication in 7.72 seconds (JVM running for 8.465) 
2021:05:21 19:00:36.445 INFO  --- [http-nio-8081-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet' 
2021:05:21 19:00:36.445 INFO  --- [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet : Initializing Servlet 'dispatcherServlet' 
2021:05:21 19:00:36.447 INFO  --- [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet : Completed initialization in 1 ms 
2021:05:21 19:00:38.804 INFO  --- [http-nio-8081-exec-1] com.cnc.rating.service.QueryService : service_mgmt_no : 7000016500, shard_no : 1, range : 7, duration : 2210, size : 21971  
2021:05:21 19:00:38.890 INFO  --- [http-nio-8081-exec-5] com.zaxxer.hikari.HikariDataSource : HikariPool-2 - Starting... 
2021:05:21 19:00:38.893 INFO  --- [http-nio-8081-exec-10] com.zaxxer.hikari.HikariDataSource : HikariPool-3 - Starting... 
2021:05:21 19:00:38.897 INFO  --- [http-nio-8081-exec-7] com.zaxxer.hikari.HikariDataSource : HikariPool-4 - Starting... 
2021:05:21 19:00:38.900 INFO  --- [http-nio-8081-exec-3] com.zaxxer.hikari.HikariDataSource : HikariPool-5 - Starting... 
2021:05:21 19:00:38.907 INFO  --- [http-nio-8081-exec-4] com.zaxxer.hikari.HikariDataSource : HikariPool-6 - Starting... 
2021:05:21 19:00:38.908 INFO  --- [http-nio-8081-exec-9] com.zaxxer.hikari.HikariDataSource : HikariPool-7 - Starting... 
2021:05:21 19:00:38.910 INFO  --- [http-nio-8081-exec-6] com.zaxxer.hikari.HikariDataSource : HikariPool-8 - Starting... 
2021:05:21 19:00:38.911 INFO  --- [http-nio-8081-exec-8] com.zaxxer.hikari.HikariDataSource : HikariPool-9 - Starting... 
2021:05:21 19:00:38.913 INFO  --- [http-nio-8081-exec-2] com.zaxxer.hikari.HikariDataSource : HikariPool-10 - Starting... 
2021:05:21 19:00:38.967 INFO  --- [http-nio-8081-exec-11] com.zaxxer.hikari.HikariDataSource : HikariPool-11 - Starting... 
2021:05:21 19:00:38.996 INFO  --- [http-nio-8081-exec-8] com.zaxxer.hikari.HikariDataSource : HikariPool-9 - Start completed. 
2021:05:21 19:00:39.000 INFO  --- [http-nio-8081-exec-7] com.zaxxer.hikari.HikariDataSource : HikariPool-4 - Start completed. 
2021:05:21 19:00:39.024 INFO  --- [http-nio-8081-exec-9] com.zaxxer.hikari.HikariDataSource : HikariPool-7 - Start completed. 
2021:05:21 19:00:39.036 INFO  --- [http-nio-8081-exec-10] com.zaxxer.hikari.HikariDataSource : HikariPool-3 - Start completed. 
2021:05:21 19:00:39.048 INFO  --- [http-nio-8081-exec-3] com.zaxxer.hikari.HikariDataSource : HikariPool-5 - Start completed. 
2021:05:21 19:00:39.064 INFO  --- [http-nio-8081-exec-2] com.zaxxer.hikari.HikariDataSource : HikariPool-10 - Start completed. 
2021:05:21 19:00:39.072 INFO  --- [http-nio-8081-exec-6] com.zaxxer.hikari.HikariDataSource : HikariPool-8 - Start completed. 
2021:05:21 19:00:39.080 INFO  --- [http-nio-8081-exec-4] com.zaxxer.hikari.HikariDataSource : HikariPool-6 - Start completed. 
2021:05:21 19:00:39.092 INFO  --- [http-nio-8081-exec-5] com.zaxxer.hikari.HikariDataSource : HikariPool-2 - Start completed. 
2021:05:21 19:00:39.142 INFO  --- [http-nio-8081-exec-11] com.zaxxer.hikari.HikariDataSource : HikariPool-11 - Start completed. 
2021:05:21 19:00:43.627 INFO  --- [http-nio-8081-exec-6] com.cnc.rating.service.QueryService : service_mgmt_no : 7000016509, shard_no : 10, range : 7, duration : 4751, size : 21985  
2021:05:21 19:00:43.679 INFO  --- [http-nio-8081-exec-5] com.cnc.rating.service.QueryService : service_mgmt_no : 7000016502, shard_no : 3, range : 7, duration : 4834, size : 21961  
2021:05:21 19:00:43.691 INFO  --- [http-nio-8081-exec-6] com.zaxxer.hikari.HikariDataSource : HikariPool-13 - Starting... 
2021:05:21 19:00:43.681 INFO  --- [http-nio-8081-exec-1] com.zaxxer.hikari.HikariDataSource : HikariPool-12 - Starting... 
2021:05:21 19:00:43.702 INFO  --- [http-nio-8081-exec-4] com.cnc.rating.service.QueryService : service_mgmt_no : 7000016501, shard_no : 2, range : 7, duration : 4859, size : 21738  
2021:05:21 19:00:43.708 INFO  --- [http-nio-8081-exec-11] com.cnc.rating.service.QueryService : service_mgmt_no : 7000016510, shard_no : 11, range : 7, duration : 4756, size : 21888  
2021:05:21 19:00:43.709 INFO  --- [http-nio-8081-exec-3] com.cnc.rating.service.QueryService : service_mgmt_no : 7000016503, shard_no : 4, range : 7, duration : 4860, size : 22013  
2021:05:21 19:00:43.735 INFO  --- [http-nio-8081-exec-5] com.zaxxer.hikari.HikariDataSource : HikariPool-14 - Starting... 
2021:05:21 19:00:43.714 INFO  --- [http-nio-8081-exec-10] com.cnc.rating.service.QueryService : service_mgmt_no : 7000016505, shard_no : 6, range : 7, duration : 4857, size : 21809  
2021:05:21 19:00:43.679 INFO  --- [http-nio-8081-exec-8] com.cnc.rating.service.QueryService : service_mgmt_no : 7000016507, shard_no : 8, range : 7, duration : 4814, size : 22061  
2021:05:21 19:00:43.774 INFO  --- [http-nio-8081-exec-11] com.zaxxer.hikari.HikariDataSource : HikariPool-15 - Starting... 
2021:05:21 19:00:43.795 INFO  --- [http-nio-8081-exec-9] com.cnc.rating.service.QueryService : service_mgmt_no : 7000016506, shard_no : 7, range : 7, duration : 4934, size : 21850  
2021:05:21 19:00:43.781 INFO  --- [http-nio-8081-exec-3] com.zaxxer.hikari.HikariDataSource : HikariPool-16 - Starting... 
2021:05:21 19:00:43.796 INFO  --- [http-nio-8081-exec-4] com.zaxxer.hikari.HikariDataSource : HikariPool-17 - Starting... 
2021:05:21 19:00:43.806 INFO  --- [http-nio-8081-exec-8] com.zaxxer.hikari.HikariDataSource : HikariPool-19 - Starting... 
2021:05:21 19:00:43.808 INFO  --- [http-nio-8081-exec-1] com.zaxxer.hikari.HikariDataSource : HikariPool-12 - Start completed. 
2021:05:21 19:00:43.797 INFO  --- [http-nio-8081-exec-10] com.zaxxer.hikari.HikariDataSource : HikariPool-18 - Starting... 
2021:05:21 19:00:43.819 INFO  --- [http-nio-8081-exec-6] com.zaxxer.hikari.HikariDataSource : HikariPool-13 - Start completed. 
2021:05:21 19:00:43.821 INFO  --- [http-nio-8081-exec-2] com.cnc.rating.service.QueryService : service_mgmt_no : 7000016504, shard_no : 5, range : 7, duration : 4968, size : 22117  
2021:05:21 19:00:43.896 INFO  --- [http-nio-8081-exec-7] com.cnc.rating.service.QueryService : service_mgmt_no : 7000016508, shard_no : 9, range : 7, duration : 5027, size : 21958  
2021:05:21 19:00:43.911 INFO  --- [http-nio-8081-exec-9] com.zaxxer.hikari.HikariDataSource : HikariPool-20 - Starting... 
2021:05:21 19:00:43.942 INFO  --- [http-nio-8081-exec-5] com.zaxxer.hikari.HikariDataSource : HikariPool-14 - Start completed. 
2021:05:21 19:00:43.958 INFO  --- [http-nio-8081-exec-8] com.zaxxer.hikari.HikariDataSource : HikariPool-19 - Start completed. 
2021:05:21 19:00:43.958 INFO  --- [http-nio-8081-exec-11] com.zaxxer.hikari.HikariDataSource : HikariPool-15 - Start completed. 
2021:05:21 19:00:43.976 INFO  --- [http-nio-8081-exec-4] com.zaxxer.hikari.HikariDataSource : HikariPool-17 - Start completed. 
2021:05:21 19:00:43.984 INFO  --- [http-nio-8081-exec-9] com.zaxxer.hikari.HikariDataSource : HikariPool-20 - Start completed. 
2021:05:21 19:00:43.988 INFO  --- [http-nio-8081-exec-3] com.zaxxer.hikari.HikariDataSource : HikariPool-16 - Start completed. 
2021:05:21 19:00:43.991 INFO  --- [http-nio-8081-exec-10] com.zaxxer.hikari.HikariDataSource : HikariPool-18 - Start completed. 
2021:05:21 19:00:47.918 INFO  --- [http-nio-8081-exec-8] com.cnc.rating.service.QueryService : service_mgmt_no : 7000016518, shard_no : 19, range : 7, duration : 4115, size : 21829  
2021:05:21 19:00:47.988 INFO  --- [http-nio-8081-exec-11] com.cnc.rating.service.QueryService : service_mgmt_no : 7000016514, shard_no : 15, range : 7, duration : 4221, size : 22175  
2021:05:21 19:00:48.269 INFO  --- [http-nio-8081-exec-1] com.cnc.rating.service.QueryService : service_mgmt_no : 7000016511, shard_no : 12, range : 7, duration : 4608, size : 21959  
2021:05:21 19:00:48.346 INFO  --- [http-nio-8081-exec-5] com.cnc.rating.service.QueryService : service_mgmt_no : 7000016513, shard_no : 14, range : 7, duration : 4619, size : 21668  
2021:05:21 19:00:48.397 INFO  --- [http-nio-8081-exec-4] com.cnc.rating.service.QueryService : service_mgmt_no : 7000016517, shard_no : 18, range : 7, duration : 4608, size : 22012  
2021:05:21 19:00:48.406 INFO  --- [http-nio-8081-exec-7] com.cnc.rating.service.QueryService : service_mgmt_no : 7000016520, shard_no : 1, range : 7, duration : 4493, size : 22217  
2021:05:21 19:00:48.409 INFO  --- [http-nio-8081-exec-6] com.cnc.rating.service.QueryService : service_mgmt_no : 7000016512, shard_no : 13, range : 7, duration : 4722, size : 22197  
2021:05:21 19:00:48.432 INFO  --- [http-nio-8081-exec-9] com.cnc.rating.service.QueryService : service_mgmt_no : 7000016519, shard_no : 20, range : 7, duration : 4523, size : 21795  
2021:05:21 19:00:48.452 INFO  --- [http-nio-8081-exec-3] com.cnc.rating.service.QueryService : service_mgmt_no : 7000016515, shard_no : 16, range : 7, duration : 4682, size : 21886  
2021:05:21 19:00:48.465 INFO  --- [http-nio-8081-exec-10] com.cnc.rating.service.QueryService : service_mgmt_no : 7000016516, shard_no : 17, range : 7, duration : 4685, size : 21841  
2021:05:21 19:00:52.004 INFO  --- [http-nio-8081-exec-2] com.cnc.rating.service.QueryService : service_mgmt_no : 7000016521, shard_no : 2, range : 7, duration : 4037, size : 21889  
2021:05:21 19:00:52.025 INFO  --- [http-nio-8081-exec-8] com.cnc.rating.service.QueryService : service_mgmt_no : 7000016522, shard_no : 3, range : 7, duration : 4023, size : 21673  
2021:05:21 19:00:52.507 INFO  --- [http-nio-8081-exec-4] com.cnc.rating.service.QueryService : service_mgmt_no : 7000016528, shard_no : 9, range : 7, duration : 4066, size : 21880  
2021:05:21 19:00:52.527 INFO  --- [http-nio-8081-exec-11] com.cnc.rating.service.QueryService : service_mgmt_no : 7000016523, shard_no : 4, range : 7, duration : 4214, size : 21753  
2021:05:21 19:00:52.613 INFO  --- [http-nio-8081-exec-6] com.cnc.rating.service.QueryService : service_mgmt_no : 7000016529, shard_no : 10, range : 7, duration : 4146, size : 21777  
2021:05:21 19:00:52.633 INFO  --- [http-nio-8081-exec-10] com.cnc.rating.service.QueryService : service_mgmt_no : 7000016530, shard_no : 11, range : 7, duration : 4165, size : 21901  
2021:05:21 19:00:52.645 INFO  --- [http-nio-8081-exec-1] com.cnc.rating.service.QueryService : service_mgmt_no : 7000016524, shard_no : 5, range : 7, duration : 4279, size : 22044  
